Tissue Type Sampled Total Secondary Duplicated Paired Properly_paired Singleton
Plasma PE150_4M 1 37669 6540 9397 31129 17902 12423
Plasma PE150_4M 10 372529 65817 144599 306712 176624 122304
Plasma PE150_4M 20 743861 130758 322536 613103 352918 244497
Plasma PE150_4M 30 1117903 196841 516510 921062 530032 367296
Plasma PE150_4M 40 1490586 262710 720221 1227876 706850 489288
Plasma PE150_4M 50 1862074 327828 931636 1534246 883344 611060
Plasma PE150_4M 60 2234746 393201 1150583 1841545 1060538 733069
Plasma PE150_4M 70 2609497 459295 1377310 2150202 1239028 855424
Plasma PE150_4M 80 2982423 525154 1607645 2457269 1416480 977047
Plasma PE150_4M 90 3356403 591425 1842768 2764978 1593616 1099632
Plasma PE150_4M 100 3728753 657493 2081227 3071260 1769312 1222342
