Tissue Type Sampled Total Secondary Duplicated Paired Properly_paired Singleton
Plasma PE75_32M 1 442394 102704 127233 339690 231846 42854
Plasma PE75_32M 10 4425491 1031225 2026393 3394266 2324928 427004
Plasma PE75_32M 20 8838176 2055074 4576021 6783102 4645664 853960
Plasma PE75_32M 30 13254995 3079800 7346285 10175195 6969528 1281963
Plasma PE75_32M 40 17677184 4110687 10246634 13566497 9294898 1708733
Plasma PE75_32M 50 22089890 5134844 13235931 16955046 11615658 2134726
Plasma PE75_32M 60 26504017 6160374 16292126 20343643 13938800 2559909
Plasma PE75_32M 70 30913172 7182993 19396385 23730179 16259970 2987277
Plasma PE75_32M 80 35329577 8210174 22542132 27119403 18582738 3413369
Plasma PE75_32M 90 39741545 9232179 25718036 30509366 20906186 3839186
Plasma PE75_32M 100 44146899 10254002 28913351 33892897 23224196 4264205
