Tissue Type Sampled Total Secondary Duplicated Paired Properly_paired Singleton
Plasma SE50_3M 1 25351 8152 7539 0 0 0
Plasma SE50_3M 10 258189 84211 114654 0 0 0
Plasma SE50_3M 20 515658 168325 248684 0 0 0
Plasma SE50_3M 30 774210 252222 389866 0 0 0
Plasma SE50_3M 40 1032372 336456 534592 0 0 0
Plasma SE50_3M 50 1289879 420326 682433 0 0 0
Plasma SE50_3M 60 1546762 503697 832675 0 0 0
Plasma SE50_3M 70 1804213 587492 985177 0 0 0
Plasma SE50_3M 80 2062287 671882 1139302 0 0 0
Plasma SE50_3M 90 2321046 756177 1295499 0 0 0
Plasma SE50_3M 100 2579729 840393 1453092 0 0 0
