SLX Sample Raw.Read Mapped.Read DoC BoC_1x BoC_3x BoC_5x
SLX-8074 A001 513196873 329033097 4.91 85.8 64.37 45.48
SLX-8074 A010 523013085 340970031 5.5 87.68 68.31 50.34
SLX-8074 A003 502454613 328290682 4.88 85.82 64.06 44.91
SLX-8074 A012 593905928 388634952 5.13 84.83 63.25 45.47
SLX-8080 A001 590233088 375081750 5.16 82.54 61.27 44.73
SLX-8080 A010 476964923 308053744 5.51 86.01 66.69 49.75
SLX-8080 A003 645635669 404945784 4.66 80.01 57.4 40.67
SLX-8080 A012 503420464 330623605 6.2 86.81 69.11 53.45
SLX-8075 A002 249758651 180854934 7.84 85.04 73.26 61.47
SLX-8075 A004 191104960 137828212 5.98 82.08 66.52 52.11
SLX-8075 A008 155917066 110177673 4.99 81.84 63.66 46.41
SLX-8075 A006 157676847 110354226 4.67 79.86 60.13 42.7
SLX-8077 A002 419531327 305377920 12.56 87.64 80.53 73.04
SLX-8077 A004 311173972 225215767 8.8 85.51 74.72 64.18
SLX-8077 A005 209371320 146410826 5.54 82.07 65.53 49.86
SLX-8077 A007 227134141 163337880 7.23 85.22 73.33 60.62
SLX-8077 A008 242572302 171905663 7.09 85.33 72.67 59.59
SLX-8077 A006 249269101 174524818 6.54 83.72 69.2 55.17
SLX-8081 A002 259775181 178368827 9.83 86.14 76.94 67.62
SLX-8081 A004 350906923 235395315 11.63 87.92 80.85 73.12
SLX-8081 A005 352655878 229247811 13.19 86.25 79.08 72.07
SLX-8081 A007 351414010 234370445 12.17 86.88 79.61 72.13
SLX-8081 A008 435395947 287769663 13.69 88.04 81.66 74.94
SLX-8081 A006 352887434 232176881 9.86 84.22 74.37 65.16
SLX-8074.SLX-8080 A001 1103429961 704114847 10.1 90.4996 78.295 67.3785
SLX-8074.SLX-8080 A010 999978008 649023775 11 92.244 82.0243 72.1731
SLX-8074.SLX-8080 A003 1148090282 733236466 9.5 89.8848 76.8361 65.3426
SLX-8074.SLX-8080 A012 1097326392 719258557 11.3 91.7223 81.0726 71.1392
SLX-8075.SLX-8077.SLX-8081 A002 929065159 664601681 12 92.2704 82.7596 73.4433
SLX-8075.SLX-8077.SLX-8081 A004 853185855 598439294 10.8 91.9894 81.4098 71.1367
SLX-8075.SLX-8077.SLX-8081 A005 691113567 465735473 9.8 89.1379 76.8937 65.7819
SLX-8075.SLX-8077.SLX-8081 A007 731242804 507282104 9.9 91.4027 80.2077 69.1462
SLX-8075.SLX-8077.SLX-8081 A008 729263230 569852999 10.9 92.0146 81.4842 71.233
SLX-8075.SLX-8077.SLX-8081 A006 759833382 517055925 8.5 88.8281 74.8335 62.0357
SRR530646 P1 115648023 84693478 1.35213 62.4786 18.977 4.35437
SRR530647 P1 66123533 45933080 0.628703 40.4515 4.96987 0.478812
SRR530646.SRR530647 P1 181771556 130626558 2 71.3693 31.6906 11.3919

