SLX Sample Raw.Read Mapped.Read DoC BoC_1x BoC_3x BoC_5x MET_1x MET_3x MET_5x 
SLX-8074 A001 513.196873 329.033097 4.91 85.8 64.37 45.48 80.44 85.04 86.22
SLX-8074 A010 523.013085 340.970031 5.5 87.68 68.31 50.34 82.50 86.33 87.29
SLX-8074 A003 502.454613 328.290682 4.88 85.82 64.06 44.91 81.12 85.77 87.11
SLX-8074 A012 593.905928 388.634952 5.13 84.83 63.25 45.47 82.14 86.38 87.16
SLX-8080 A001 590.233088 375.081750 5.16 82.54 61.27 44.73 80.54 85.30 86.24
SLX-8080 A010 476.964923 308.053744 5.51 86.01 66.69 49.75 82.30 86.32 87.28
SLX-8080 A003 645.635669 404.945784 4.66 80.01 57.4 40.67 80.58 85.79 87.06
SLX-8080 A012 503.420464 330.623605 6.2 86.81 69.11 53.45 83.52 87.23 88.21 
SLX-8074.SLX-8080 A001 1103.429961 704.114847 10.1 90.4996 78.295 67.3785 85.59 88.60 89.33
SLX-8074.SLX-8080 A010 999.978008 649.023775 11 92.244 82.0243 72.1731 87.03 89.43 90.07
SLX-8074.SLX-8080 A003 1148.090282 733.236466 9.5 89.8848 76.8361 65.3426 85.79 88.95 89.75
SLX-8074.SLX-8080 A012 1097.326392 719.258557 11.3 91.7223 81.0726 71.1392 87.32 89.78 90.42
SRR530646 P1 115.648023 84.693478 1.35213 62.4786 18.977 4.35437 72.20 81.63 84.67
SRR530647 P1 66.123533 45.933080 0.628703 40.4515 4.96987 0.478812 69.15 83.64 87.92
SRR530646.SRR530647 P1 181.771556 130.626558 2 71.3693 31.6906 11.3919 75.60 83.68 86.64
