ID	library type	Submission ID	Index	av lib size	min lib size	max lib size
66	oxBS-seq	8074	A001	254	139	534
68	oxBS-seq	8074	A003	267	140	564
66	BS-seq	8074	A010	273	148	571
68	BS-seq	8074	A012	280	144	554
66	oxBS-seq	8080	A001	280	132	679
68	oxBS-seq	8080	A003	238	132	404
66	BS-seq	8080	A010	296	148	599
68	BS-seq	8080	A012	326	200	1000
64	oxBS-seq	8075	A009	301	152	637
65	oxBS-seq	8075	A006	307	149	684
67	oxBS-seq	8075	A011	288	148	608
72	oxBS-seq	8075	A005	267	157	496
73	oxBS-seq	8075	A008	314	149	683
74	oxBS-seq	8075	A007	306	147	697
75	oxBS-seq	8075	A002	295	149	700
77	oxBS-seq	8075	A004	301	133	891
65	oxBS-seq	8077	A006	307	149	684
72	oxBS-seq	8077	A005	267	157	496
73	oxBS-seq	8077	A008	314	149	683
74	oxBS-seq	8077	A007	306	147	697
75	oxBS-seq	8077	A002	295	149	700
77	oxBS-seq	8077	A004	301	133	891
65	oxBS-seq	8081	A006	284	143	764
72	oxBS-seq	8081	A005	314	138	971
73	oxBS-seq	8081	A008	320	139	1000
74	oxBS-seq	8081	A007	318	150	892
75	oxBS-seq	8081	A002	306	148	714
77	oxBS-seq	8081	A004	331	146	749
0	oxBS-seq	PNAS-2013	SRR530646	500	500	500
0	oxBS-seq	PNAS-2013	SRR530647	500	500	500




###########################
#04 June 2014            
#Sumbission ID 8077 added
#Sumbission ID 8081 added#
##########################
