Barcode,BedFile
FLD0001,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0001/SLX-8773.FLD0001.cpg.filtered.CG.chr10.bed
FLD0002,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0002/SLX-8773.FLD0002.cpg.filtered.CG.chr10.bed
FLD0003,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0003/SLX-8773.FLD0003.cpg.filtered.CG.chr10.bed
FLD0004,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0004/SLX-8773.FLD0004.cpg.filtered.CG.chr10.bed
FLD0005,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0005/SLX-8773.FLD0005.cpg.filtered.CG.chr10.bed
FLD0006,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0006/SLX-8773.FLD0006.cpg.filtered.CG.chr10.bed
FLD0007,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0007/SLX-8773.FLD0007.cpg.filtered.CG.chr10.bed
FLD0008,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0008/SLX-8773.FLD0008.cpg.filtered.CG.chr10.bed
FLD0009,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0009/SLX-8773.FLD0009.cpg.filtered.CG.chr10.bed
FLD0010,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0010/SLX-8773.FLD0010.cpg.filtered.CG.chr10.bed
FLD0011,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0011/SLX-8773.FLD0011.cpg.filtered.CG.chr10.bed
FLD0012,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0012/SLX-8773.FLD0012.cpg.filtered.CG.chr10.bed
FLD0013,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0013/SLX-8773.FLD0013.cpg.filtered.CG.chr10.bed
FLD0014,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0014/SLX-8773.FLD0014.cpg.filtered.CG.chr10.bed
FLD0015,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0015/SLX-8773.FLD0015.cpg.filtered.CG.chr10.bed
FLD0016,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0016/SLX-8773.FLD0016.cpg.filtered.CG.chr10.bed
FLD0017,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0017/SLX-8773.FLD0017.cpg.filtered.CG.chr10.bed
FLD0018,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0018/SLX-8773.FLD0018.cpg.filtered.CG.chr10.bed
FLD0019,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0019/SLX-8773.FLD0019.cpg.filtered.CG.chr10.bed
FLD0020,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0020/SLX-8773.FLD0020.cpg.filtered.CG.chr10.bed
FLD0021,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0021/SLX-8773.FLD0021.cpg.filtered.CG.chr10.bed
FLD0022,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0022/SLX-8773.FLD0022.cpg.filtered.CG.chr10.bed
FLD0023,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0023/SLX-8773.FLD0023.cpg.filtered.CG.chr10.bed
FLD0024,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0024/SLX-8773.FLD0024.cpg.filtered.CG.chr10.bed
FLD0025,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0025/SLX-8773.FLD0025.cpg.filtered.CG.chr10.bed
FLD0026,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0026/SLX-8773.FLD0026.cpg.filtered.CG.chr10.bed
FLD0027,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0027/SLX-8773.FLD0027.cpg.filtered.CG.chr10.bed
FLD0028,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0028/SLX-8773.FLD0028.cpg.filtered.CG.chr10.bed
FLD0029,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0029/SLX-8773.FLD0029.cpg.filtered.CG.chr10.bed
FLD0030,/home/ssg29/results/SLX-8773.Homo_sapiens.v1/BisSNP/FLD0030/SLX-8773.FLD0030.cpg.filtered.CG.chr10.bed
