Source Publication Tissue File
Schroeder-2013 PNAS-2013 Placenta2 /scratch/obsgynae/POPS/data/fastq/PNAS-2013/Placenta/GSM1083880_placenta2_MethylC-seq_chr10.hg19.BED
Schroeder-2013 PNAS-2013 Placenta3 /scratch/obsgynae/POPS/data/fastq/PNAS-2013/Placenta/GSM1083881_placenta3_MethylC-seq_chr10.hg19.BED
Schroeder-2013 PNAS-2013 Blood /scratch/obsgynae/POPS/data/fastq/PNAS-2013/Blood/NK_MethylC-seq_chr10.hg.19.BED
Schroeder-2013 PNAS-2013 Kidney /scratch/obsgynae/POPS/data/fastq/PNAS-2013/Kidney/kidney_MethylC-seq_chr10.hg19.BED
Schroeder-2013 PNAS-2013 Brain1 /scratch/obsgynae/POPS/data/fastq/PNAS-2013/Brain/cerebellum_MethylC-seq_chr10.hg19.BED
Hodges-2011 Nature-2013 Bcell.r1 /scratch/obsgynae/POPS/data/fastq/Ziller-2013/GSM791827_BiSeq_cpgMethylation_bcell_r1.bed
Hodges-2011 Nature-2013 Bcell.r2 /scratch/obsgynae/POPS/data/fastq/Ziller-2013/GSM791827_BiSeq_cpgMethylation_bcell_r2.bed
Hodges-2011 Nature-2013 HSCP.r1 /scratch/obsgynae/POPS/data/fastq/Ziller-2013/GSM791828_BiSeq_cpgMethylation_hscp_r1.bed
Hodges-2011 Nature-2013 HSCP.r2 /scratch/obsgynae/POPS/data/fastq/Ziller-2013/GSM791828_BiSeq_cpgMethylation_hscp_r2.bed
Molaro-2011 Nature-2013 Sperm /scratch/obsgynae/POPS/data/fastq/Ziller-2013/GSM752295_BiSeq_cpgMethylation_human_sperm_donor_1_bs.bed
Laurent-2010 Nature-2013 Fibroblast /scratch/obsgynae/POPS/data/fastq/Ziller-2013/BiSeq_cpgMethylation_BioSam_1018_Epiblast_236459.BiSeq.bed
Ziller-2013 Nature-2013 Brain2 /scratch/obsgynae/POPS/data/fastq/Ziller-2013/BiSeq_cpgMethylation_BioSam_515_fetal_brain.BiSeq.bed
Ziller-2013 Nature-2013 Liver1 /scratch/obsgynae/POPS/data/fastq/Ziller-2013/GSM916049_BiSeq_cpgMethylation_liver_BioSam_161_REMC2.BiSeq.bed
Ziller-2013 Nature-2013 Liver2 /scratch/obsgynae/POPS/data/fastq/Ziller-2013/BiSeq_cpgMethylation_liver_BioSam_162_REMC3_null.BiSeq.bed
Ziller-2013 Nature-2013 Heart /scratch/obsgynae/POPS/data/fastq/Ziller-2013/BiSeq_cpgMethylation_BioSam_1119_fetal_heart.BiSeq.bed
Ziller-2013 Nature-2013 Thymus /scratch/obsgynae/POPS/data/fastq/Ziller-2013/BiSeq_cpgMethylation_BioSam_1238_fThymus_304082.BiSeq.bed
Ziller-2013 Nature-2013 Muscle /scratch/obsgynae/POPS/data/fastq/Ziller-2013/BiSeq_cpgMethylation_BioSam_1243_fMuscle_Leg_304083.BiSeq.bed
Ziller-2013 Nature-2013 Adrenal /scratch/obsgynae/POPS/data/fastq/Ziller-2013/BiSeq_cpgMethylation_BioSam_1244_fAdrenal_304084.BiSeq.bed
Ziller-2013 Nature-2013 Adipocyte /scratch/obsgynae/POPS/data/fastq/Ziller-2013/BiSeq_cpgMethylation_BioSam_1496_Subcutaneous_Adipocyte_Nuclei_304075.BiSeq.bed
Ziller-2013 Nature-2013 C.Mucosa /scratch/obsgynae/POPS/data/fastq/Ziller-2013/BiSeq_cpgMethylation_BioSam_157_REMC_19_colonic_mucosa.BiSeq.bed
Ziller-2013 Nature-2013 Colon /scratch/obsgynae/POPS/data/fastq/Ziller-2013/BiSeq_cpgMethylation_BioSam_1121_Colon_Adjacent_Normal.BiSeq.bed
Ziller-2013 Nature-2013 IMR90 /scratch/obsgynae/POPS/data/fastq/Ziller-2013/GSM1204464_BiSeq_cpgMethylation_BioSam_1502_IMR_90_304071.BiSeq.bed
Encode Encode S.muscle.r1 /scratch/obsgynae/POPS/data/fastq/ENCODE/wgEncodeHaibMethylRrbsAosmcDukeSitesRep1.bed
Encode Encode S.muscle.r2 /scratch/obsgynae/POPS/data/fastq/ENCODE/wgEncodeHaibMethylRrbsAosmcDukeSitesRep2.bed
Encode Encode Myoblasts.r1 /scratch/obsgynae/POPS/data/fastq/ENCODE/wgEncodeHaibMethylRrbsHsmmDukeSitesRep1.bed
